property_type,rooms,parking,bathroom,size,region,monthly_rent(RM),Gymnasium,Lift,Minimart,Sauna,Security,Swimming Pool
Condominium,1.0,1,1,638.0,Kuala Lumpur,2200.0,0,0,0,0,0,0
Condominium,3.0,1,2,1072.0,Kuala Lumpur,1700.0,0,0,0,0,0,0
Condominium,4.0,1,2,900.0,Kuala Lumpur,2000.0,0,0,0,0,0,0
Service Residence,2.0,1,2,990.0,Kuala Lumpur,1948.0,0,0,0,0,0,0
Apartment,3.0,1,2,850.0,Kuala Lumpur,1300.0,0,0,0,0,1,0
Condominium,3.0,2,2,850.0,Kuala Lumpur,2200.0,0,0,0,0,1,0
Service Residence,3.0,2,2,1020.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Service Residence,3.0,1,2,926.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Condominium,3.0,2,2,1313.0,Kuala Lumpur,2400.0,0,0,0,0,0,0
Service Residence,3.0,1,2,850.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Condominium,3.0,1,2,800.0,Kuala Lumpur,1200.0,0,1,0,0,0,0
Condominium,3.0,1,2,1066.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Studio,1.0,1,1,450.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Condominium,3.0,1,2,850.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Service Residence,4.0,1,3,1300.0,Kuala Lumpur,550.0,0,0,0,0,0,0
Apartment,3.0,1,2,800.0,Kuala Lumpur,1000.0,0,0,0,0,0,0
Condominium,3.0,1,2,1100.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Condominium,3.0,1,2,1100.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Apartment,3.0,1,2,650.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Condominium,3.0,1,2,1200.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Service Residence,2.0,1,2,650.0,Kuala Lumpur,1100.0,1,0,0,0,0,0
Service Residence,3.0,1,2,819.0,Kuala Lumpur,1488.0,0,1,0,0,0,0
Condominium,3.0,1,2,850.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Apartment,3.0,1,2,829.0,Kuala Lumpur,2200.0,0,0,0,0,0,0
Condominium,2.0,1,2,980.0,Kuala Lumpur,1400.0,0,0,1,0,0,0
Condominium,3.0,2,2,1100.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Apartment,3.0,1,2,900.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Condominium,3.0,1,2,1185.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Condominium,3.0,1,2,931.0,Kuala Lumpur,1200.0,0,0,0,0,0,0
Apartment,3.0,1,2,950.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Condominium,4.0,1,2,1421.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Condominium,3.0,1,2,1076.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Apartment,3.0,1,2,900.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Apartment,3.0,1,2,750.0,Kuala Lumpur,1000.0,0,0,0,0,1,0
Apartment,3.0,1,2,900.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Condominium,3.0,2,2,1018.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Condominium,4.0,1,2,1142.0,Kuala Lumpur,1600.0,1,0,0,0,0,0
Service Residence,2.0,1,2,750.0,Kuala Lumpur,3200.0,0,0,0,0,0,1
Flat,2.0,1,1,600.0,Kuala Lumpur,900.0,0,0,0,0,0,0
Condominium,4.0,1,2,1328.0,Kuala Lumpur,1600.0,0,0,0,0,0,0
Service Residence,3.0,1,2,900.0,Kuala Lumpur,1700.0,0,0,0,0,0,0
Condominium,4.0,1,2,1313.0,Kuala Lumpur,1800.0,0,0,0,0,1,0
Condominium,3.0,1,2,1067.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Service Residence,3.0,1,2,850.0,Kuala Lumpur,2500.0,0,0,0,0,0,0
Service Residence,2.0,1,2,650.0,Kuala Lumpur,1300.0,1,0,0,0,0,0
