,facility1,facility2,facility3,facility4,facility5,facility6,facility7,facility8,facility9,facility10,facility11,facility12,facility13,facility14,facility15,facility16,facility17,facility18,facility19,facility20,facility21
13728,13728,Sauna, Swimming Pool, Gymnasium,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13729,13729,Multipurpose hall, Swimming Pool, Barbeque area, Security, Jogging Track, Sauna, Parking, Playground, Gymnasium, Lift, Minimart,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
13730,13730,Playground, Swimming Pool, Parking, Security, Lift, Gymnasium, Jogging Track, Multipurpose hall,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
13731,13731,Playground, Swimming Pool, Jogging Track, Sauna, Security, Multipurpose hall, Gymnasium, Barbeque area, Parking, Minimart,na,na,na,na,unknown,na,na,na,na,na
13732,13732,Security, Parking, Lift, Playground, Barbeque area, Multipurpose hall, Jogging Track,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
13733,13733,Security, Playground, Multipurpose hall, Jogging Track, Parking,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
13734,13734,Parking, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Squash Court, Tennis Court, Jogging Track, Club house,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine, Internet,na,na
13735,13735,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13736,13736,Playground, Parking, Lift, Squash Court, Security, Minimart, Jogging Track, Swimming Pool, Gymnasium, Sauna, Barbeque area, Multipurpose hall,na,na,Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT,na,na
13737,13737,Parking, Tennis Court, Barbeque area, Sauna, Club house, Security, Playground, Squash Court, Multipurpose hall, Minimart, Swimming Pool, Gymnasium, Jogging Track, Lift,Cooking Allowed,na,na,na,na,na
13738,13738,Security, Playground, Parking, Lift, Minimart, Jogging Track,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
13739,13739,Gymnasium, Parking, Security, Lift, Swimming Pool, Playground, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Tennis Court, Jogging Track,na,Near KTM/LRT,na,na,na,na,na
13740,13740,Gymnasium, Parking, Playground, Security, Swimming Pool, Minimart, Multipurpose hall,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
13741,13741,Parking, Security, Swimming Pool, Playground, Gymnasium,na,na,na,na,na,na,na,na,na,Near KTM/LRT, Washing Machine, Internet,na,na,na
13742,13742,Parking, Security, Lift, Playground, Gymnasium, Barbeque area, Multipurpose hall,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13743,13743,Swimming Pool, Sauna, Jogging Track, Lift, Playground, Minimart,na,na,na,na,na,na,na,na,Near KTM/LRT, Cooking Allowed,na,na,na,na
13744,13744,Playground, Security, Jogging Track, Barbeque area, Sauna, Parking, Gymnasium, Swimming Pool, Lift,na,na,na,na,na,Air-Cond, Washing Machine,na,na,na,na
13745,13745,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13746,13746,Parking, Swimming Pool, Playground, Security, Jogging Track, Multipurpose hall, Barbeque area, Minimart, Club house, Lift,na,na,na,na,Cooking Allowed, Washing Machine, Near KTM/LRT,na,na,na
13747,13747,Playground, Gymnasium, Jogging Track, Multipurpose hall, Swimming Pool, Security, Barbeque area, Parking, Lift, Minimart, Sauna, Club house,na,na,Air-Cond, Cooking Allowed,na,na,na,na
13748,13748,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13749,13749,Parking, Security,na,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
13750,13750,Security, Playground, Lift, Parking,na,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
13751,13751,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Near KTM/LRT,na,na,na,na,na
13752,13752,Parking, Playground, Minimart, Multipurpose hall,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13753,13753,Parking, Playground, Security, Lift, Multipurpose hall,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
13754,13754,Parking, Playground, Minimart,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
13755,13755,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed, Washing Machine, Internet, Near KTM/LRT,na,na
13756,13756,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13757,13757,Gymnasium, Jogging Track, Sauna, Lift, Multipurpose hall, Parking, Minimart, Playground, Barbeque area, Security, Swimming Pool,na,na,na,Cooking Allowed,na,na,na,na,na
13758,13758,Security, Parking, Lift,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Near KTM/LRT,na,na,na,na
13759,13759,Security, Playground, Swimming Pool, Lift, Parking, Gymnasium, Jogging Track,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
13760,13760,Parking, Security, Playground,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13761,13761,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall,na,na,na,na,na,na,Air-Cond,na,na,na,na,na
13762,13762,Parking, Security, Lift, Playground, Sauna, Gymnasium, Swimming Pool, Barbeque area, Minimart, Multipurpose hall,na,na,na,na,Cooking Allowed, Air-Cond,na,na,na,na
13763,13763,Swimming Pool, Playground, Security, Parking, Minimart, Multipurpose hall,na,na,na,na,na,na,na,na,Cooking Allowed, Air-Cond,na,na,na,na
13764,13764,Security, Playground, Swimming Pool, Barbeque area, Jogging Track, Lift, Gymnasium, Sauna, Multipurpose hall, Parking, Minimart,na,na,na,Cooking Allowed, Washing Machine,na,na,na,na
13765,13765,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Jogging Track, Multipurpose hall, Minimart, Barbeque area, Sauna,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
13766,13766,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
13767,13767,Security, Playground, Jogging Track, Sauna, Parking, Barbeque area, Lift, Swimming Pool, Gymnasium, Multipurpose hall, Minimart,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
13768,13768,Security, Jogging Track, Swimming Pool, Parking, Gymnasium, Lift, Playground,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
13769,13769,Security, Playground, Gymnasium, Sauna, Parking, Swimming Pool, Jogging Track, Barbeque area, Minimart, Multipurpose hall,na,na,na,na,unknown,na,na,na,na,na
13770,13770,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13771,13771,Playground, Gymnasium, Squash Court, Swimming Pool, Parking, Lift, Security, Minimart, Sauna,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
13772,13772,Parking, Security, Lift, Swimming Pool, Playground, Minimart, Multipurpose hall, Jogging Track, Barbeque area,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
13773,13773,Minimart, Playground,na,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
13774,13774,Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Sauna, Gymnasium, Club house, Jogging Track,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
13775,13775,Minimart, Swimming Pool, Jogging Track, Parking, Security, Playground, Gymnasium, Lift, Sauna, Barbeque area, Multipurpose hall,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
13776,13776,Parking, Gymnasium, Squash Court, Lift, Playground, Security, Minimart, Swimming Pool, Sauna,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
13777,13777,Multipurpose hall, Lift,na,na,na,na,na,na,na,na,na,na,na,na,Air-Cond,na,na,na,na,na
13778,13778,Multipurpose hall, Minimart, Swimming Pool, Barbeque area, Sauna, Jogging Track, Parking, Playground, Gymnasium, Security, Club house,na,na,na,unknown,na,na,na,na,na
13779,13779,Swimming Pool, Parking, Playground, Security, Lift, Gymnasium,na,na,na,na,na,na,na,na,Cooking Allowed, Air-Cond,na,na,na,na
13780,13780,Parking, Security, Minimart, Playground, Gymnasium, Jogging Track, Swimming Pool, Sauna, Lift,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
13781,13781,Multipurpose hall, Minimart, Swimming Pool, Barbeque area, Sauna, Jogging Track, Parking, Playground, Gymnasium, Security, Club house,na,na,na,Air-Cond,na,na,na,na,na
13782,13782,Security,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13783,13783,Security, Minimart, Gymnasium, Barbeque area, Parking, Swimming Pool, Playground, Tennis Court, Sauna, Lift, Multipurpose hall,na,na,na,Air-Cond, Near KTM/LRT,na,na,na,na
13784,13784,Parking, Jogging Track, Playground,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13785,13785,Parking, Lift, Security, Minimart,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
13786,13786,Swimming Pool, Security, Sauna, Gymnasium, Parking,na,na,na,na,na,na,na,na,na,Air-Cond,na,na,na,na,na
13787,13787,Parking, Security, Swimming Pool, Jogging Track,na,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
13788,13788,Security, Swimming Pool, Multipurpose hall, Gymnasium, Playground, Lift, Sauna, Barbeque area, Tennis Court,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
13789,13789,Playground, Multipurpose hall, Parking, Security, Gymnasium, Jogging Track, Barbeque area, Swimming Pool, Lift, Sauna,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
13790,13790,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Jogging Track, Tennis Court,na,na,na,na,na,Cooking Allowed, Near KTM/LRT, Washing Machine, Air-Cond, Internet,na
13791,13791,Parking, Minimart, Gymnasium, Club house, Barbeque area, Playground, Swimming Pool, Jogging Track, Security, Lift, Tennis Court,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
13792,13792,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Near KTM/LRT,na,na,na,na
13793,13793,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
13794,13794,Security, Playground, Jogging Track, Gymnasium,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
13795,13795,Security, Playground, Barbeque area, Parking, Lift,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13796,13796,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13797,13797,Gymnasium, Sauna, Parking, Minimart, Playground, Swimming Pool, Squash Court, Lift, Jogging Track, Security, Tennis Court,na,na,na,Washing Machine, Near KTM/LRT, Cooking Allowed, Air-Cond, Internet,na
13798,13798,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13799,13799,Security, Gymnasium, Parking, Tennis Court, Squash Court, Lift, Sauna, Minimart, Playground, Swimming Pool,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
13800,13800,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Tennis Court, Jogging Track,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
13801,13801,Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Jogging Track, Club house, Barbeque area, Gymnasium,na,na,na,Air-Cond, Internet, Cooking Allowed, Near KTM/LRT, Washing Machine,na
13802,13802,Security, Gymnasium, Parking, Tennis Court, Squash Court, Lift, Sauna, Minimart, Playground, Swimming Pool,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
13803,13803,Parking, Swimming Pool, Jogging Track, Security,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13804,13804,Playground, Gymnasium, Security, Jogging Track, Swimming Pool, Multipurpose hall, Parking, Lift,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
13805,13805,Playground, Multipurpose hall, Gymnasium, Barbeque area, Sauna, Swimming Pool, Parking, Security, Lift, Jogging Track,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
13806,13806,Parking, Swimming Pool, Security,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
13807,13807,Parking, Security, Lift, Playground, Swimming Pool,na,na,na,na,na,na,na,na,na,Cooking Allowed, Air-Cond,na,na,na,na
13808,13808,Playground, Gymnasium, Sauna, Security, Swimming Pool, Tennis Court, Jogging Track, Multipurpose hall, Parking, Minimart, Lift,na,na,na,Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT,na,na
13809,13809,Swimming Pool, Gymnasium, Security, Jogging Track, Playground, Multipurpose hall, Minimart, Parking,na,na,na,na,na,na,unknown,na,na,na,na,na
13810,13810,Parking, Security, Sauna, Playground, Swimming Pool, Gymnasium, Barbeque area, Lift,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT,na,na
13811,13811,Parking, Swimming Pool, Jogging Track, Security, Playground, Minimart,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
13812,13812,Parking, Playground, Security, Lift, Minimart,na,na,na,na,na,na,na,na,na,Near KTM/LRT,na,na,na,na,na
13813,13813,Lift, Playground, Minimart,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
13814,13814,Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Barbeque area, Gymnasium,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
13815,13815,Swimming Pool, Barbeque area, Security, Gymnasium, Minimart, Multipurpose hall, Playground, Lift, Parking,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
13816,13816,Gymnasium, Sauna, Squash Court, Security, Swimming Pool, Multipurpose hall, Parking, Lift, Playground, Barbeque area, Minimart,na,na,na,Air-Cond, Washing Machine,na,na,na,na
13817,13817,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13818,13818,Jogging Track, Sauna, Security, Barbeque area, Playground, Gymnasium, Minimart, Swimming Pool, Lift, Parking,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
13819,13819,Parking, Security, Playground, Lift, Swimming Pool, Multipurpose hall, Minimart, Barbeque area, Gymnasium, Sauna, Jogging Track, Club house,na,na,Cooking Allowed,na,na,na,na,na
13820,13820,Security, Playground, Parking, Lift, Swimming Pool, Multipurpose hall, Minimart, Barbeque area, Gymnasium, Sauna, Jogging Track, Club house,na,na,unknown,na,na,na,na,na
13821,13821,Barbeque area, Playground, Swimming Pool, Gymnasium, Multipurpose hall, Security, Minimart, Parking, Lift,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
13822,13822,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
13823,13823,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
13824,13824,Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Jogging Track, Squash Court, Tennis Court, Club house, Multipurpose hall, Lift,Air-Cond, Cooking Allowed,na,na,na,na
13825,13825,Parking, Playground, Security, Lift, Minimart,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
13826,13826,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13827,13827,Gymnasium, Sauna, Parking, Playground, Security, Jogging Track, Multipurpose hall, Club house, Minimart, Swimming Pool, Barbeque area,na,na,na,unknown,na,na,na,na,na
13828,13828,Parking, Playground, Multipurpose hall, Jogging Track, Gymnasium, Security, Swimming Pool, Lift,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
13829,13829,Parking, Security, Playground, Swimming Pool, Barbeque area, Sauna, Multipurpose hall, Tennis Court, Jogging Track, Minimart, Squash Court, Club house, Gymnasium, Lift,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
13830,13830,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13831,13831,Parking,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13832,13832,Parking, Security, Playground, Tennis Court, Jogging Track, Sauna, Minimart, Gymnasium, Squash Court, Lift, Swimming Pool, Barbeque area, Multipurpose hall, Club house,unknown,na,na,na,na,na
13833,13833,Multipurpose hall,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13834,13834,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13835,13835,Parking, Security, Lift, Swimming Pool,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13836,13836,Security, Barbeque area, Gymnasium, Parking, Playground, Swimming Pool,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13837,13837,Parking, Security, Swimming Pool, Gymnasium, Playground, Lift, Jogging Track, Minimart, Squash Court, Tennis Court,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
13838,13838,Security, Parking, Gymnasium, Lift, Squash Court, Minimart, Playground, Swimming Pool,na,na,na,na,na,na,unknown,na,na,na,na,na
13839,13839,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,unknown,na,na,na,na,na
13840,13840,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13841,13841,Squash Court, Gymnasium, Parking, Playground, Swimming Pool, Minimart, Sauna, Security, Lift,na,na,na,na,na,unknown,na,na,na,na,na
13842,13842,Squash Court, Gymnasium, Parking, Playground, Swimming Pool, Minimart, Sauna, Security, Lift,na,na,na,na,na,unknown,na,na,na,na,na
13843,13843,Security, Jogging Track, Parking, Playground, Barbeque area, Gymnasium, Multipurpose hall, Swimming Pool, Lift,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
13844,13844,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13845,13845,Playground, Security, Jogging Track, Barbeque area, Sauna, Parking, Lift, Swimming Pool, Gymnasium,na,na,na,na,na,Air-Cond, Internet,na,na,na,na
13846,13846,Minimart, Parking, Playground,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13847,13847,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13848,13848,Parking, Gymnasium, Security, Swimming Pool, Barbeque area, Playground, Lift, Multipurpose hall,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
13849,13849,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13850,13850,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed, Washing Machine,na,na,na,na
13851,13851,Multipurpose hall,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13852,13852,Parking, Playground, Security, Minimart,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13853,13853,Multipurpose hall, Playground, Gymnasium, Parking, Security, Jogging Track, Barbeque area, Swimming Pool,na,na,na,na,na,na,unknown,na,na,na,na,na
13854,13854,Security, Playground, Squash Court, Minimart, Gymnasium, Parking, Lift, Swimming Pool, Barbeque area, Multipurpose hall, Jogging Track, Tennis Court,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
13855,13855,Parking,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13856,13856,Minimart, Security, Playground, Jogging Track, Parking, Gymnasium, Lift, Swimming Pool, Sauna, Multipurpose hall,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT,na,na
13857,13857,Barbeque area, Sauna, Playground, Jogging Track, Swimming Pool, Tennis Court, Parking, Security, Lift, Gymnasium, Multipurpose hall, Minimart, Club house, Squash Court,Cooking Allowed, Air-Cond, Washing Machine,na,na,na
13858,13858,Parking, Gymnasium, Lift, Swimming Pool, Playground, Squash Court, Security, Minimart, Club house, Jogging Track, Multipurpose hall,na,na,na,unknown,na,na,na,na,na
13859,13859,Gymnasium, Tennis Court, Barbeque area, Minimart, Playground, Sauna, Security, Swimming Pool, Parking,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
13860,13860,Gymnasium, Lift, Sauna, Parking, Security, Playground, Squash Court, Minimart, Swimming Pool, Barbeque area, Jogging Track, Multipurpose hall,na,na,Cooking Allowed,na,na,na,na,na
13861,13861,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13862,13862,Security, Parking, Minimart, Playground, Jogging Track, Lift,na,na,na,na,na,na,na,na,Near KTM/LRT,na,na,na,na,na
13863,13863,Parking, Security, Playground,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
13864,13864,Parking, Security, Minimart, Playground, Gymnasium, Jogging Track,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
13865,13865,Parking, Jogging Track, Security, Playground, Minimart,na,na,na,na,na,na,na,na,na,Near KTM/LRT,na,na,na,na,na
13866,13866,Swimming Pool, Gymnasium, Tennis Court, Squash Court, Minimart, Playground, Jogging Track, Security, 10, 11,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
13867,13867,Security, Parking, Barbeque area, Playground, Tennis Court,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT, Washing Machine, Air-Cond,na,na
13868,13868,Parking, Jogging Track, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house,na,na,na,Air-Cond, Internet,na,na,na,na
13869,13869,Parking, Jogging Track, Playground,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13870,13870,Parking, Security, Lift, Playground, Swimming Pool, Minimart, Multipurpose hall,na,na,na,na,na,na,na,Washing Machine, Cooking Allowed, Air-Cond, Near KTM/LRT,na,na
13871,13871,Lift, Parking, Minimart, Gymnasium, Security, Swimming Pool, Playground, Multipurpose hall,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
13872,13872,Security, Playground, Parking, Minimart, Lift,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
13873,13873,Lift, Club house, Parking, Squash Court, Multipurpose hall, Tennis Court, Jogging Track, Sauna, Gymnasium, Security, Playground, Swimming Pool, Minimart, Barbeque area,unknown,na,na,na,na,na
13874,13874,Gymnasium, Parking, Security, Swimming Pool, Sauna, Playground, Tennis Court, Jogging Track, Minimart, Squash Court, Barbeque area, Lift, Multipurpose hall,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
13875,13875,Parking, Swimming Pool, Gymnasium, Jogging Track, Lift, Multipurpose hall, Playground, Barbeque area, Security,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
13876,13876,Gymnasium, Barbeque area, Swimming Pool, Tennis Court, Club house, Minimart, Squash Court, Sauna, Multipurpose hall, Jogging Track, Lift, Parking, Security, Playground,unknown,na,na,na,na,na
13877,13877,Parking, Playground, Security, Barbeque area,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13878,13878,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
13879,13879,Sauna, Swimming Pool, Gymnasium, Barbeque area, Security, Parking, Playground,na,na,na,na,na,na,na,Cooking Allowed, Air-Cond, Near KTM/LRT, Washing Machine,na,na
13880,13880,Swimming Pool, Jogging Track, Parking, Lift, Security, Minimart,na,na,na,na,na,na,na,na,Near KTM/LRT,na,na,na,na,na
13881,13881,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine, Internet,na,na
13882,13882,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
13883,13883,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
13884,13884,Jogging Track, Playground, Security, Swimming Pool, Barbeque area, Parking, Gymnasium, Lift, Minimart, Multipurpose hall,na,na,na,na,Near KTM/LRT, Cooking Allowed, Air-Cond, Washing Machine, Internet,na
13885,13885,Parking, Gymnasium, Swimming Pool, Minimart, Lift, Security, Playground,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13886,13886,Parking, Playground, Minimart,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed, Washing Machine,na,na,na,na
13887,13887,Parking, Minimart, Playground,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
13888,13888,Minimart, Playground, Barbeque area, Swimming Pool, Parking, Security, Gymnasium,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13889,13889,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Squash Court, Tennis Court,Air-Cond, Internet, Washing Machine, Near KTM/LRT, Cooking Allowed,na
13890,13890,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
13891,13891,Minimart, Playground, Security, Swimming Pool, Parking, Gymnasium, Tennis Court, Lift, Multipurpose hall,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
13892,13892,Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Gymnasium, Sauna, Club house, Jogging Track,na,na,unknown,na,na,na,na,na
13893,13893,Parking,na,na,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
13894,13894,Jogging Track, Parking, Squash Court, Security, Playground, Swimming Pool, Sauna, Minimart, Lift,na,na,na,na,na,unknown,na,na,na,na,na
13895,13895,Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Sauna, Gymnasium, Club house,na,na,na,na,unknown,na,na,na,na,na
13896,13896,Multipurpose hall,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
13897,13897,Tennis Court, Jogging Track, Lift, Security, Playground, Swimming Pool, Gymnasium, Parking, Minimart, Squash Court, Barbeque area, Sauna,na,na,unknown,na,na,na,na,na
13898,13898,Barbeque area, Parking, Swimming Pool, Jogging Track, Gymnasium, Multipurpose hall, Sauna, Security, Lift, Playground,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
13899,13899,Sauna, Parking, Swimming Pool, Jogging Track, Barbeque area, Multipurpose hall, Gymnasium, Security, Lift, Playground,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
