,facility1,facility2,facility3,facility4,facility5,facility6,facility7,facility8,facility9,facility10,facility11,facility12,facility13,facility14,facility15,facility16,facility17,facility18,facility19,facility20,facility21
81,81,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Club house, Jogging Track,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
82,82,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Internet,na,na
83,83,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
84,84,Playground, Parking, Gymnasium, Jogging Track, Security, Swimming Pool, Lift, Club house, Minimart, Sauna,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
85,85,Playground, Barbeque area, Sauna, Multipurpose hall, Security, Swimming Pool, Gymnasium, Lift, Parking,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
86,86,Minimart, Swimming Pool, Tennis Court, Jogging Track, Security, Playground, Parking, Gymnasium, Barbeque area, Lift, Multipurpose hall,na,na,na,Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT,na,na
87,87,Security, Playground, Lift,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
88,88,Jogging Track, Swimming Pool, Playground, Security, Barbeque area, Multipurpose hall,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
89,89,Jogging Track, Lift, Gymnasium, Squash Court, Minimart, Security, Swimming Pool, Parking, Playground, Barbeque area,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
90,90,Lift,na,na,na,na,na,na,na,na,na,na,na,na,na,Near KTM/LRT, Cooking Allowed,na,na,na,na
91,91,Security, Squash Court, Parking, Swimming Pool, Tennis Court, Playground, Minimart, Barbeque area, Lift, Multipurpose hall, Club house,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
92,92,Minimart, Playground, Swimming Pool, Parking, Security, Gymnasium, Tennis Court, Lift, Barbeque area, Jogging Track, Multipurpose hall,na,na,na,Air-Cond,na,na,na,na,na
93,93,Parking, Security, Swimming Pool, Minimart, Playground, Squash Court, Lift, Gymnasium, Tennis Court, Jogging Track,na,na,na,na,Near KTM/LRT, Air-Cond, Cooking Allowed, Washing Machine,na,na
94,94,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Minimart,na,na,na,na,na,Air-Cond, Near KTM/LRT, Cooking Allowed,na,na,na
95,95,Minimart, Sauna, Security, Gymnasium, Playground, Parking, Swimming Pool, Lift,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
96,96,Parking, Security, Lift, Swimming Pool, Playground, Jogging Track,na,na,na,na,na,na,na,na,Cooking Allowed, Washing Machine,na,na,na,na
97,97,Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Multipurpose hall,na,na,na,na,na,na,na,Near KTM/LRT, Washing Machine, Internet, Cooking Allowed,na,na
98,98,Parking, Sauna, Barbeque area, Jogging Track, Security, Playground, Swimming Pool, Gymnasium, Multipurpose hall,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
99,99,Parking, Security, Lift, Swimming Pool, Gymnasium, Playground,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT, Washing Machine,na,na,na
100,100,Parking, Security, Lift, Swimming Pool, Playground, Jogging Track, Barbeque area,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT, Washing Machine,na,na,na
101,101,Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Playground, Swimming Pool, Security,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
102,102,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
103,103,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Cooking Allowed, Washing Machine,na,na,na,na
104,104,Parking, Security, Swimming Pool, Jogging Track, Minimart, Lift, Playground, Multipurpose hall, Barbeque area, Tennis Court,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
105,105,Parking, Playground, Gymnasium, Jogging Track, Lift, Minimart, Tennis Court, Squash Court, Security, Swimming Pool,na,na,na,na,Air-Cond,na,na,na,na,na
106,106,Parking, Gymnasium, Sauna, Security, Lift, Swimming Pool, Playground, Barbeque area,na,na,na,na,na,na,Cooking Allowed, Air-Cond, Near KTM/LRT,na,na,na
107,107,Parking,na,na,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed, Air-Cond,na,na,na,na
108,108,Parking, Gymnasium, Security, Lift, Swimming Pool, Barbeque area, Playground, Jogging Track,na,na,na,na,na,na,unknown,na,na,na,na,na
109,109,Parking, Jogging Track, Tennis Court, Lift, Sauna, Minimart,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
110,110,Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Squash Court,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
111,111,Playground, Security, Parking,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
112,112,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
113,113,Swimming Pool, Minimart, Tennis Court, Squash Court, Parking, Playground, Gymnasium, Jogging Track, Security, Lift,na,na,na,na,unknown,na,na,na,na,na
114,114,Security, Swimming Pool, Jogging Track, Sauna, Minimart, Parking,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
115,115,Parking,na,na,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
116,116,Playground, Swimming Pool, Jogging Track, Security, Tennis Court, Lift, Multipurpose hall, Parking, Gymnasium, Barbeque area, Minimart, Squash Court, Sauna, Club house,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
117,117,Playground, Security, Parking, Gymnasium, Sauna, Jogging Track, Barbeque area, Lift, Swimming Pool,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
118,118,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
119,119,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet,na
120,120,Parking, Lift,na,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
121,121,Gymnasium, Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Sauna, Minimart, Multipurpose hall, Jogging Track, Tennis Court,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
122,122,Parking, Gymnasium, Jogging Track, Playground, Security, Lift, Swimming Pool, Sauna, Barbeque area, Multipurpose hall, Tennis Court,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
123,123,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
124,124,Parking, Security, Lift, Playground, Minimart, Multipurpose hall,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
125,125,Security, Playground, Gymnasium, Lift, Parking,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
126,126,Minimart, Gymnasium, Lift, Parking, Security, Swimming Pool, Playground, Jogging Track, Barbeque area, Multipurpose hall,na,na,na,na,Cooking Allowed, Near KTM/LRT, Air-Cond,na,na,na
